title,pubDate,words,voice,primary_cluster,secondary,disposition,Ev,Se,AI,OE,St,Pr,Str,IPS,tier,desc
Trust and Ownership: The Importance of Strategic Absence in Discipleship,"Tue, 30 Jul 2024 10:00:04 GMT",90,hosts,cpm_leadership,disciple_training|disciple_making,B,9,7,6,4,2,4,7,6.0,T3,"Let's talk about the training cycle for raising up multiplying leaders, focusing on the controversial ""L"" in the Model, Assist, Watch, and Leave/Launch (MAWL) framework. This episode emphasizes the importance of strategic absence to help new leaders grow and take ownership of their skills, drawing on examples from Jesus' ministry and practical leadership strategies like the One-Minute Manager. The"
How Prophecy & Healing Led Me to The Mission Field with David Campbell,"Tue, 31 Jan 2023 11:00:02 GMT",62,interview/guest,gospel,prayer_field,A+FieldNote,9,5,4,8,4,3,7,6.0,T3,"God took David and Keri Campbell on a journey of broad seed sowing that led to a demonstration of the gospel through healing. Ultimately, it led them to Berlin where God used them to catalyze work among Muslims. In this episode, David shares about the field and unpacks how God changed their thinking on healing and prophecy.⁠ 👉Connect with David on Instagram:"
"How We Are Learning Teaming Using ""Mobbing""","Tue, 01 Nov 2022 10:00:03 GMT",72,interview/guest,cpm_leadership,gospel|simple_church,B,9,7,4,6,2,4,7,6.0,T3,"""Mobbing"" is a way of teaming that has emerged out of the work in Southern California. It involves doing doing the activities of engaging, gospel-ing, discipling, gathering, and leadership development together in public places. Tim in SoCal and Kyle in DFW join again on this episode as we talk about what we are learning about teaming using ""mobbing."" * Show Notes and Resources * • Movements Podcas"
You Cannot Follow What You Cannot See,"Tue, 31 Mar 2026 10:00:02 GMT",90,hosts,disciple_making,disciple_training,B,9,7,4,5,3,4,7,5.95,T3,"Most disciple-making gets stuck because people hear a lot or train through tools but rarely see a life they can actually imitate. In this episode, Mark breaks down why Jesus didn’t mainly train through more explanation, but through withness, exposure, and real obedience in motion. He shows how immersion clears the fog, builds courage, and helps normal believers picture what following Jesus can act"
Ignite Multiplication in Legacy Churches with Bryan King,"Tue, 18 Oct 2022 10:00:02 GMT",77,interview/guest,cpm_leadership,,B,9,6,5,6,2,4,7,5.95,T3,Bryan King recently worked alongside a small team composed of leaders from the West and East to design a multiple month cohort for leaders who serve in legacy churches. Dave and Mark interview as he shares what they have developed which is heavy on principles at the beginning and then guides leaders to select or develop their own tools. Bryan shares some exciting early results! *** Show Notes and 
"If You Don’t Know When to Stop, You Don’t Understand the Work","Tue, 21 Jul 2026 10:00:00 GMT",74,hosts,disciple_making,cpm_leadership|meet_jesus,B,9,8,4,4,2,5,6,5.9,T3,"You can stay busy making disciples and still have no idea what you’re trying to produce. Mark and Dave explain why defining “done” gives you the focus to develop people without controlling them or keeping them dependent on you.They unpack how Jesus could call his work finished even though his disciples were still imperfect and growing. You’ll learn how to recognize when someone has enough skill, c"
Why Multiplication Breaks Down—and How Jesus Trains Us for the Whirlwind,"Tue, 09 Dec 2025 12:10:07 GMT",68,hosts,cpm_leadership,disciple_training|meet_jesus,B,9,8,4,4,2,4,7,5.9,T3,"Multiplication sounds simple until it collides with the real world and its mess. In this episode, we dig into why the mission that started in Eden now feels like navigating a tornado. Jesus actually told us this would happen—and he trained his leaders to thrive in it, not fold under it. You’ll walk away seeing the whirlwind differently and knowing how to lead with both simplicity and shrewdness."
Take or Toss: A Decade Inside #NoPlaceLeft,"Tue, 25 Nov 2025 11:00:07 GMT",86,hosts,disciple_training,cpm_leadership|prayer_field,B,9,5,4,6,4,5,7,5.9,T3,"Ten years in #NoPlaceLeft stripped away the hype and left only the essentials. In this episode, Mark and Dave take an honest inventory of their journey: what ideas, vision, pathway, models they kept, what they ditched, and why some of it surprised them even after a decade of experience. They dig into the tensions and the lessons that rarely get shared, revealing what has actually stuck after pract"
Covo Immersion Debrief: Does It Actually Work?,"Tue, 07 Oct 2025 10:00:08 GMT",73,hosts,prayer_field,cpm_leadership,B,9,6,4,6,4,3,7,5.9,T3,"We did an immersion—so was the juice worth the squeeze? In this episode, Mark and Dave debrief what really happened at the UPNA Conference and the first Covo Multipliers Immersion in Oklahoma City. You’ll hear what clicked for everyday covocational marketplace leaders, the lessons from failure and success, and why immersion may be the missing piece for breakthrough. Does immersion actually work to"
The Tension Between Power and Process: Lose Influence to Gain Authority?,"Tue, 23 Sep 2025 10:00:08 GMT",97,hosts,cpm_leadership,meet_jesus,B,9,8,4,4,2,4,7,5.9,T3,"When Jesus stepped into the synagogue at Capernaum, everything the Pharisees thought was stable was suddenly disrupted. In this episode, we explore the clash between positional authority and spiritual authority, and how Jesus’ response reframes leadership for His disciples and for us. You’ll discover why Jesus silenced demons who proclaimed Him as Messiah, how His authority flowed from relationshi"
Grit and the Gospel: Pressing On in Unreached Places,"Tue, 07 May 2024 10:00:03 GMT",49,hosts,gospel,cpm_leadership|prayer_field,B,8,9,4,4,2,4,7,5.9,T3,"In this episode we discuss the concept of ""doing the next right thing"" in ministry, emphasizing grit, faithfulness, and the power of gospel-centered witness. Learn how strategic prayer, cross-pollination among laborers, and unwavering commitment to Jesus can help overcome challenges in reaching the diaspora and building the multiplying church."
Unreached and Ignited: Catalyzing New Work in Little Saigon,"Tue, 16 Apr 2024 10:00:04 GMT",108,hosts,gospel,disciple_making|simple_church,B,9,7,6,4,2,4,6,5.9,T3,"In this podcast episode, Tim Hutchinson and Jordan Giusti discuss their experiences and insights from engaging in disciple-making and church planting efforts in the Los Angeles area, particularly focusing on the vibrant and diverse community of Little Saigon among the Vietnamese population. They share encouraging stories about local and international impacts, emphasizing the importance of collabor"
How to Hear God for Others with Stephen,"Tue, 28 Mar 2023 10:00:02 GMT",61,interview/guest,disciple_training,disciple_making,B,9,6,4,6,2,5,7,5.9,T3,"In this second episode with Stephen, we continue talking about prophecy and discipleship. Stephen shares his thoughts on how to approach training disciples in hearing God and what it will take for us to see more of it in our Western context. *** Show Notes and Resources *** 👉5 T's Strategy Coordinator Series:  👉Unreached Peoples Conference (Sept 28-30). Learn more at"
5 Things We've Learned a Year Into a New Work,"Tue, 13 Dec 2022 11:00:01 GMT",54,hosts,cpm_leadership,,B,8,7,4,6,4,3,7,5.9,T3,"We are all most effective in the work of multiplying disciples, leaders, and churches when we regularly take time to reflect and adjust. In this episode, Mark shares about embracing virtual strategies, learning from the context, and more as he reflects on 5 things he's learned a year into the work in New York."
Learning from an OKC Vietnamese Strategy Collaborator,"Tue, 13 Sep 2022 10:20:45 GMT",52,interview/guest,disciple_training,gospel|cpm_leadership,A+FieldNote,8,5,4,8,4,4,7,5.9,T3,"K, a Vietnamese Strategy Coordinator in Oklahoma City, joins Dave to discuss his 5T strategy and the fruit Jesus is bringing to the harvest work among his team. Gold nuggets of training, strategy, and innovation along with a healthy dose of encouragement. Show notes: • NoPlaceLeft Discord (NPL tools in various languages):"
God in Crisis with Mary Roberts,"Tue, 16 Nov 2021 11:00:10 GMT",66,interview/guest,cpm_leadership,,B,9,7,4,6,2,3,7,5.9,T3,"The Church at large is missing out on some of the greatest windows of opportunity that God gives us through crisis. Crisis creates a limited time frame of access and receptivity in the lives of those affected. Mary Roberts is asking the question: what if we saw this opportunity as a catalyst to multiply locally owned disciples, churches, leaders, and sustainable transformation? God in Crisis Links"
The 12 Habits of Highly Effective Disciples,"Tue, 26 May 2026 10:03:00 GMT",97,hosts,disciple_making,cpm_leadership,B,9,6,5,4,2,6,7,5.85,T3,"Most discipleship conversations get stuck on tools, but this episode pushes deeper: what kind of person are you becoming? Mark and Dave walk through Acts 2:36–47 and show how the first church was formed by a simple pattern of identity, devotion, and overflow.The punch is clear: you do not build multiplying disciples by tacking spiritual tasks onto a busy life, you become the kind of person whose n"
Stop Spinning Your Wheels The CFC Framework for 2026,"Tue, 16 Dec 2025 11:00:08 GMT",81,hosts,cpm_leadership,disciple_making,B,7,8,5,4,2,6,7,5.85,T3,"2026 will not be won by the leader with the biggest vision, but by the one who masters commitment, focus, and consistency (CFC). In this episode, we break down how to identify your highest-leverage actions, build daily rhythms, and create a leadership pipeline that multiplies disciples and leaders. You’ll discover practical ways to avoid spinning your wheels, overcome overwhelm, and stay faithful "
She Stopped Waiting to Go...And Started Saying Yes,"Tue, 14 Oct 2025 10:00:08 GMT",72,hosts,cpm_leadership,disciple_making|simple_church,B,9,7,5,4,2,4,7,5.85,T3,"What if the call to mission isn’t somewhere out there...but right where you stand? In this episode, Mark and Dave sit down with Houston leaders Guy Caskey and Kristen Funderburg, who once dreamed of going overseas but discovered that obedience started in her own backyard—and eventually led her into Texas prisons. Hear how saying “yes” to God in small, ordinary steps opened doors to extraordinary c"
Vision Casting- 3 Ways to Understand A Leadership Must,"Tue, 11 Mar 2025 19:58:59 GMT",164,hosts,cpm_leadership,disciple_making,B,9,7,5,4,2,4,7,5.85,T3,"In this episode of the H3X podcast, hosts Mark Goering and Dave Miller dive deep into the critical leadership skill of vision casting. They explore why some leaders naturally articulate vision while others struggle, and how all leaders can improve their ability to cast vision effectively. The discussion covers the importance of pairing vision with core values, maintaining clarity in communication,"
Behind the Scenes of Doctrinal Defense: A Leadership Dilemma,"Wed, 23 Oct 2024 10:00:02 GMT",79,hosts,cpm_leadership,prayer_field,B,9,7,4,5,3,3,7,5.85,T3,"Dave unpacks the challenges faced by the multiplying church in Oklahoma City, particularly dealing with false prophets and heresies that threatened to disrupt the work. He explains the need for a doctrinal statement to help mature believers and protect the community from wolves. By engaging the entire network in crafting these statements, he and other leaders aimed to strengthen the theological fo"
"Urban Rebar: Cutting Across City Segments with Live, Work, Play","Tue, 23 Apr 2024 10:00:04 GMT",78,hosts,gospel,disciple_making|prayer_field,B,9,7,5,4,2,4,7,5.85,T3,"A look into the intriguing concept of ""urban rebar,"" exploring its potential to redefine mission strategies within urban settings. Dave and Mark discuss how viewing cities as networks of interconnected people groups—much like the reinforcing bars in concrete—can enhance our understanding of urban evangelism. By examining the cross-sections of society, they aim to identify new pathways for the gosp"
Lets Talk Diaspora with Bud Houston,"Tue, 09 May 2023 10:00:02 GMT",84,interview/guest,disciple_making,,B,9,6,5,6,2,4,6,5.85,T3,Bud Houston joins Mark in this episode to talk diaspora and his new podcast project that center around the 281 million people in the diaspora today. Each episode they hope to provide a clear picture of what is happening in the diaspora in North America and around the world. Let’s Talk Diaspora podcast is perfect for anyone who wants to deepen their understanding of cross-cultural and diaspora miss
Engaging UPG's in LA with Tim Hutchinson & Kyle Pierson,"Tue, 25 Oct 2022 10:00:02 GMT",73,interview/guest,cpm_leadership,,B,9,6,5,6,2,3,7,5.85,T3,"In this episode, Tim Hutchinson in Los Angelos along with Kyle Pierson share about the shocking lack of laborers in LA engaging UPG's. Hear stories of what is happening and opportunities for pioneering a multiplying strategy among unreached people groups. *** Show Notes and Resources *** • Want to get involved or hear more about the work happening in LA? Get in touch with Tim: tim.hutchinson@htmov"
How to Reset The Discipleship Narrative,"Tue, 19 Oct 2021 10:00:08 GMT",58,hosts,disciple_making,cpm_leadership,B,8,7,4,5,3,5,7,5.85,T3,Our World is full of a lot of noise and is constantly trying to drag us into its story. Understanding the role of resetting the narrative as a disciple maker can give you the insight you need to help your disciples and leaders to go the distance. ⁠ ⁠ Show Notes: - Listen to the Co-Workers Podcast Here:
You Want Lost to Leader. But What’s the Path?,"Tue, 19 May 2026 10:00:00 GMT",98,hosts,gospel,cpm_leadership,B,9,7,4,4,2,6,6,5.8,T3,"Most leaders want to see lost people become disciple-makers, but the gap between desire and action gets fuzzy fast. In this episode, Mark and Dave name the two biggest barriers: not knowing where to start and not knowing what to do next. They push back on the fear that a “lost to leader” pathway is too mechanical and show why clarity actually helps you stay steady when people get messy, distracted"
Movement or Movements? The Question That Exposes Your Heart,"Tue, 24 Mar 2026 10:00:02 GMT",100,interview/guest,cpm_leadership,gospel,B,9,6,4,6,2,4,7,5.8,T3,"Chuck Wood joins Mark and Dave for one of the more honest conversations the H3X podcast has had. Three movement guys sitting with a hard question: are we pursuing a movement of the gospel, or have we made movements the gospel? Chuck, Mark, and Dave each share their own burnout stories and what God had to do in their hearts before the work could become something sustainable. The conversation lands "
"Founders, Scars, and the Myth of Scaling Fast","Tue, 10 Jun 2025 10:00:07 GMT",74,hosts,cpm_leadership,,B,9,8,4,4,2,3,7,5.8,T3,"What does it really mean to lead like a spiritual father? In this episode, Mark and Dave unpack Paul’s blueprint for apostolic leadership—not as a flashy strategist, but as a scarred founder willing to build slow and love deep. You'll hear why foundations matter, why founders must be misunderstood, and why the scars validate the message. If you’re vision is multiplying leaders, movements, or churc"
From Classroom to Living Room - What Really Multiplies,"Tue, 20 May 2025 10:00:08 GMT",109,hosts,cpm_leadership,disciple_making|disciple_training,B,9,7,4,4,2,5,7,5.8,T3,"What if the key to long-term fruit in hard places isn’t strategy, but surrender? In this episode, we unpack raw lessons from a movement leader just back from South Asia after four intense years of frontline work. You'll hear what insiders need most from outsiders—and the surprising mistake most cross-cultural workers make. Whether you're leading at home or abroad, this one will reshape how you thi"
Unlocking Lasting Church Growth: The Hidden Power of the Harvest,"Tue, 01 Oct 2024 10:00:02 GMT",100,hosts,cpm_leadership,gospel|disciple_making,B,9,8,4,4,2,3,7,5.8,T3,"A dive into the concept of the harvest as both a great equalizer and a great reset in church multiplication. Dave and Mark discuss how the harvest forces leaders to refine their skills and reset their understanding, while staying focused on the mission of making disciples. They share transparent stories of success and failure in church planting, highlighting the importance of the harvest as the re"
Creed and Confession: Navigating Clarity in Decentralized Movements,"Tue, 10 Sep 2024 10:00:02 GMT",83,hosts,cpm_leadership,prayer_field,B,9,8,4,4,2,3,7,5.8,T3,"Dave and Mark are joined by Chris Lynch, who shares his insights on the importance of creed and confession within a decentralized network like No Place Left. They discuss the challenges of maintaining clarity and unity in a movement with diverse leaders and beliefs, emphasizing the need for cooperation and dialogue to keep the mission of multiplying disciples and churches on track. Chris, Mark, an"
How We Are Using AI in Movement Strategy (And Our Concerns),"Tue, 30 Apr 2024 10:00:04 GMT",63,hosts,cpm_leadership,,B,9,7,4,4,2,5,7,5.8,T3,"In this episode Dave and Mark explore the role of AI tools in the growth and leadership of multiplying churches. They share how AI can be used to find reliable sources, solve problems, and enhance discussions. Tune in as they discuss how AI can serve as a resource for movement leadership while addressing potential risks and maintaining a relational approach. Perplexity Search Example:"
Living the Tension: Creating Micro-Macro Momentum,"Tue, 13 Feb 2024 11:00:02 GMT",69,hosts,cpm_leadership,disciple_making,B,9,8,4,4,2,3,7,5.8,T3,"Dave and Mark delve into the tension between engaging in individual discipleship and maintaining a broader vision for ""What's it going to take?"" endvision. They emphasize the necessity of operating in both micro and macro to effectively multiply disciples, leaders, and churches. The conversation highlights practical ways leaders can navigate this tension, fostering a mindset of multiplication root"
We Track THESE 3 Things to Stay on Target,"Tue, 28 Nov 2023 11:00:03 GMT",87,hosts,gospel,disciple_making|simple_church,B,9,8,4,4,2,4,6,5.8,T3,"In this podcast episode, Mark discusses the importance of tracking in order to assess progress towards the goal of reaching every place with the gospel. Tracking helps leaders assess how they are doing and develop a strategy for their context. We need to track the right things -- Mark mentions three key metrics he uses in his context: gospel shares, baptisms, and churches. These metrics help them "
How Vision Casting & Bible Study Propel Discipleship,"Tue, 18 Apr 2023 11:57:38 GMT",69,hosts,cpm_leadership,disciple_making,B,9,8,4,4,2,3,7,5.8,T3,"Is there a place for preaching in movement methods? in this episode, Dave and Mark explore the function of the parts of our discipleship process. They look at the vision cast and Bible study parts of the 3/3 to unpack how leaders can lead in a way that propels discipleship. *** Show Notes and Resources *** 👉5 T's Strategy Coordinator Series:  👉Unreached Peoples Conference (Sept 28-30). Learn more "
How COVID Taught Us to Focus (And Why We Will Never Go Back),"Tue, 04 May 2021 10:00:05 GMT",52,hosts,disciple_training,,B,8,8,4,4,2,6,6,5.8,T3,Everybody struggled with focus during 2020. This is how we adapted ministry to the new normal of uncertainty (that continues for the foreseeable future) to identify highest value activities and how to train our churches and disciples in them so that we stay focused on the mission God has called us to.
Content vs. Systems: The Game-Changer for Leadership Development,"Tue, 28 Jan 2025 11:00:07 GMT",73,hosts,cpm_leadership,disciple_making,B,9,7,5,4,2,3,7,5.75,T3,"Are you relying on great content to drive transformation, only to cycle through content without seeing change? In this episode, we unpack the critical difference between content and systems and reveal why even the best content will fail without the right framework. You’ll hear practical insights on building processes that lead to real growth and multiplying leaders who thrive. Don’t miss this eye-"
4. Dynamic Leadership: From Manager to Influencer,"Thu, 04 Apr 2024 10:00:02 GMT",124,hosts,cpm_leadership,,B,9,6,4,5,3,4,7,5.75,T3,"Trust IS the leadership currency. Things don't trust, but people do. If you don't have credibility, you can't lead people. Your character, reputation, and credibility are everything when building trust. Do others follow you when there is no manual to tell you what to do? Here is how to move from management of things to dynamic leadership of people. Join Nate and Dave to In this episode: The differ"
Longsuffering and the 6 Demands of Success,"Tue, 19 Sep 2023 11:00:02 GMT",106,hosts,cpm_leadership,gospel,B,7,8,4,5,3,4,7,5.75,T3,"Jump in with us on the content from our September H3X Leadership Live in OKC! the 6 Demands of Success and Longsuffering. Hard Work | Patience | Sacrifice | Consistency | Discipline | Faith Read the articles on Sentergy.us 6 Demands of Success Active Patience: Embracing Obstacles as the Path Unreached Peoples North America Summit September 28-30, 2023 | Kansas City, MO More than another missions c"
The Genius of The Two Church Model,"Tue, 30 Jun 2026 10:00:00 GMT",92,hosts,disciple_training,simple_church|disciple_making,D,9,7,4,4,2,4,7,5.7,T3,"Most disciple-making training fails because people hear the content but never see it lived. In this episode, Mark and Dave unpack why information alone does not create competent disciple-makers, and why most people need reps, ""withness,"" accountability, and temporary incompetence. The two-church model gives ordinary believers a way to learn church by participating in one gathering while starting r"
Your Job is Not in The Way of Your Calling,"Tue, 28 Apr 2026 10:00:00 GMT",85,hosts,prayer_field,gospel|disciple_making,B,9,7,4,4,2,4,7,5.7,T3,"Your job is not in the way of your calling. In this episode, Mark and Dave unpack why work, business, family, neighborhood, and mission were never meant to live in separate compartments. They show how your workplace may not just fund ministry, but become one of the main places God has already given you access for the gospel. If you have ever felt torn between making a living and making disciples, "
You're Overestimating This Year. You're Underestimating the Next Three.,"Tue, 10 Mar 2026 10:30:03 GMT",71,hosts,disciple_making,cpm_leadership,B,7,8,4,4,2,6,7,5.7,T3,"Everyone wants multiplication fast. But the people who last in disciple-making learn something different. In this episode, Mark and Dave talk about why most leaders burn out chasing one-year results and how long obedience through habits and rhythms actually produces multiplication. If you want to stay faithful in ministry for decades instead of flaming out in a few years, this conversation will re"
"The Priscilla & Aquila Pattern: Business, Church, and Bold Faith","Tue, 06 May 2025 10:00:08 GMT",97,hosts,prayer_field,cpm_leadership,B,9,6,6,4,2,4,6,5.7,T3,"What do ancient prophets, co-vocational ministry, and your personal faith journey have in common? In this episode, Mark and Dave unpack the powerful biblical pattern found in Elijah and Elisha's lives — and how it still speaks directly to seasons of fear, faith, and stewardship today. Through raw stories of financial struggle, miraculous provision, and modern-day application, they explore what it "
Why Great Leaders Fail: The Biblical Pattern You Can’t Ignore,"Tue, 04 Feb 2025 11:00:07 GMT",74,hosts,cpm_leadership,disciple_making,B,9,6,6,4,2,3,7,5.7,T3,"Leadership isn't just about vision—it’s about navigating the messy middle between God’s intentions and the reality on the ground. In this episode, we unpack the biblical pattern of covenant obedience and disruption, exploring how Noah and Abraham’s choices shaped generations. What small decisions in your leadership are setting future trajectories—toward fruitfulness or failure? Join us as we wrest"
'Go Slow to Go Fast' Could Transform Your Leadership Pipeline,"Tue, 21 Jan 2025 11:05:06 GMT",69,hosts,cpm_leadership,,B,9,7,4,4,2,4,7,5.7,T3,"How do we raise up leaders in the Kingdom who don't just follow but multiply disciples? In this episode, we explore the transformative power of community in building leadership pipelines that last. Discover why 'go slow to go fast' isn't just a saying—it’s the key to multiplication without compromise. Tune in for actionable insights to shape leaders with the head, heart, and hands to impact the Ki"
"How to Overcome The Effects of ""Movement Method Inoculation""","Tue, 15 Nov 2022 11:00:02 GMT",51,hosts,cpm_leadership,disciple_training,B,8,7,4,4,2,6,7,5.7,T3,"The premise: knowledge without action equals inoculation to practice. In this episode, Mark and Dave unpack the necessity of erring on the side of action and how we as movement leaders overcome the effects of ""inoculation"" to movement methods in the West when methods become familiar without a culture of practice."
11 Characteristics of Catalysts Unpacked With Emanuel Prinz,"Tue, 11 Oct 2022 10:00:02 GMT",117,interview/guest,cpm_leadership,,B,9,6,4,6,2,3,7,5.7,T3,Dave and Mark sit down for a conversation with an author who is both a practitioner and researcher to unpack 11 characteristics of movement catalysts that have emerged from his research into movement leaders. His name is Emanuel Prinz and he’s just released a new book entitled Movement Catalysts: Profile of an Apostolic Leader. Listen as we ask Emanuel questions like: can these characteristics be 
"How to Integrate ""Withness"" into Your Disciple-making","Tue, 25 May 2021 10:00:17 GMT",36,hosts,disciple_making,disciple_training,B,8,7,4,4,2,7,6,5.7,T3,"Time with His disciples was central to Jesus's method, but how do we do this effectively? In this episode we look at how focus and ""withness"" intersect and how you can apply withness in your disciple-making."
Are You Innovating Your Way Out of Disciple-Making Success?,"Tue, 05 May 2026 10:15:00 GMT",92,hosts,disciple_making,cpm_leadership|meet_jesus,B,9,7,5,4,2,3,6,5.65,T3,"What if your biggest disciple-making problem is not failure, but aiming at ""success"" and getting something different than how Jesus defines it? In this episode, Mark and Dave unpack why a production mindset can quietly turn people into projects and push us to “innovate our way out of success.” They show how Jesus defines success through time, transformation, relationship, and reproduced lifestyle,"
The Teaming Story of San Antonio,"Tue, 04 Mar 2025 11:00:08 GMT",57,hosts,gospel,prayer_field|cpm_leadership,B,8,7,4,5,3,3,7,5.65,T3,"In this episode we hear the role of collaboration in reaching San Antonio. Jason, John and Bryan in San Antonio share stories of leaders, traditional churches, and everyday believers working together to engage the lost. From college campuses to workplaces and neighborhoods, they’re building partnerships that break down silos and unleash gospel engagment beyond the church walls."
Leadership with Nate and Dave - Intro to Thursday H3X,"Tue, 27 Feb 2024 11:00:01 GMT",47,interview/guest,cpm_leadership,,B,8,6,5,6,2,3,7,5.65,T3,"Nathan Elliot joins Dave Miller to kick off a new segment on H3X. Leadership with Nate and Dave will release each Thursday. They will discuss catylizng leaders of conviction, character, and action that last. This first episode introduces Nathan and gives sneak peak at what is ahead."
5 Ways to Attract Multiplying Leaders with Mark,"Tue, 25 Apr 2023 10:00:02 GMT",55,interview/guest,cpm_leadership,,B,8,6,5,6,2,3,7,5.65,T3,"Stop recruiting leaders. Yes, you heard that correctly. Join Mark as he lays out why attracting leaders affects multiplication and 5 core principles to attract and invest in emerging leaders that are committed focused and consistent. *** Show Notes and Resources *** 👉5 T's Strategy Coordinator Series:  👉Unreached Peoples Conference (Sept 28-30). Learn more at"
How I Got Started in Reaching Gujarati with Jane Behan,"Tue, 21 Feb 2023 11:00:02 GMT",72,interview/guest,disciple_making,,B,9,4,4,7,3,5,6,5.65,T3,"How do you get started in engaging and reaching a target people group? In this episode, Jane Behan shares her story of being called to reach Hindus, finding a massive concentration of Gujarati in the town she lives, and how she got started reaching them. ** Show Notes and Resources ** 👉Get in Touch with Jane: jbehan@globalgates.info 👉Gujarati Resources:  👉5 T's Strategy Coordinator Series:  👉Unrea"
5 Guardrails For Hearing God Through His Word,"Tue, 12 Jul 2022 10:00:02 GMT",51,hosts,disciple_making,disciple_training,B,8,6,4,5,3,5,7,5.65,T3,"Making disciples that know how to rightly engage with God's Word in order to hear His voice is central to the task. In this episode, Dave shares 5 very helpful guardrails that have emerged from his own lived experience and history of disciple-making that you can implement in your own practice."
How Listening and Shaking The Salt fits into Gospeling,"Tue, 13 Jul 2021 10:00:02 GMT",38,hosts,gospel,,B,8,7,5,4,2,4,7,5.65,T3,Listen as we unpack how to live in the tension of a gospel that must be proclaimed boldly with a lifestyle of listening and shaking the salt. One without the other impacts our effectiveness as witnesses and disciple-makers.
The Cost of Clarity: Are You Willing to Lead Differently?,"Tue, 15 Apr 2025 10:00:08 GMT",62,hosts,cpm_leadership,disciple_making|disciple_training,B,9,7,4,4,2,3,7,5.6,T3,"Is your leadership building a movement or just drawing a crowd? In this episode, Dave and Mark unpack how clarity fuels multiplication, not just addition. They challenge vague leadership models and offer practical ways to shape disciple-making leaders who carry DNA, not just titles. If you’ve ever felt tension between wanting commitment and fearing the cost of clarity—this one will hit home."
"Why Leaders Are Readers- Relational, Critical, and Practical Skills from the Page","Tue, 08 Apr 2025 16:23:04 GMT",111,hosts,cpm_leadership,,B,9,7,4,4,2,3,7,5.6,T3,"In this episode of the H3X Podcast, Dave Miller dives into the unexpected but essential connection between reading and leadership. Dave shares his personal journey from a reluctant reader to an avid one, inspired by a mentor whose love of books transformed his leadership style. Discover how reading can supercharge your ability to build authentic relationships, think critically, and solve problems "
Breaking Barriers: The Dance of Chaos and Control,"Tue, 25 Mar 2025 10:00:08 GMT",79,hosts,cpm_leadership,,B,9,7,4,4,2,3,7,5.6,T3,"Ever wondered how chaos and clarity can coexist to forge exceptional leaders? In this insightful episode of the pod, we dive into the tension between streamlined efficiency and wild innovation, revealing how both are vital to spark multiplying movements. Discover why embracing the mess might just be the secret to breaking barriers and why too much order could stall your progress. Tune in to unlock"
Jesus: The Master of Micro & Macro,"Tue, 05 Mar 2024 11:00:01 GMT",65,hosts,cpm_leadership,disciple_making,B,9,7,4,4,2,3,7,5.6,T3,"Chuck Wood leads a discussion into the dynamic interplay of personal growth and broader mission impact, reflecting on Jesus's approach to mentorship and mission, emphasizing the power of multiplication through focused discipleship. The episode delves into Jesus's strategy of balancing muddy boots leadership and mentorship with expansive mission work, illustrating the critical role of micro actions"
"Getting to Tipping Points: Connectors, Mavens, and Salesmen","Tue, 20 Feb 2024 11:00:02 GMT",86,hosts,cpm_leadership,,B,9,7,4,4,2,3,7,5.6,T3,"In this episode, Dave and Mark explore the powerful concepts from Malcolm Gladwell's ""Tipping Point"" and their application to spreading the movement of church multiplication. They discuss the crucial roles of connectors, mavens, and salesmen in achieving a tipping point within the context of church growth and disciple making. The conversation highlights the importance of leveraging these roles to "
Our Message To Leaders in The Institutional Church,"Tue, 11 Jul 2023 10:00:02 GMT",59,hosts,cpm_leadership,disciple_making,B,8,8,4,4,2,3,7,5.6,T3,"The culture in our World is deconstructing everything. Movements are emerging in many sectors that reject institutions and all they stand for. However, the multiplying discipleship and church movements have a different message for institutional leaders. Let's talk about it. *** Show Notes and Resources *** 👉5 T's Strategy Coordinator Series:  👉Unreached Peoples Conference (Sept 28-30). Learn more "
Getting to Church Matters. Here's Why.,"Tue, 28 Feb 2023 11:00:02 GMT",79,hosts,disciple_making,,B,9,7,4,4,2,3,7,5.6,T3,"In a Western context with a lot of pragmatic thinking built into programatic church, some have pushed back by re-emphasizing disciple-making. The thinking has been: “If you make disciples, you’ll get church.” In this episode, Dave leads a conversation in unpacking the role of church, why it’s essential in our disciple-making process, and the need for tensions in our approach. *** Show Notes and Re"
Mark's Thoughts on Spiritual Gifts And Pursuing #NoPlaceLeft,"Tue, 20 Sep 2022 13:26:42 GMT",47,hosts,cpm_leadership,prayer_field,B,8,8,4,4,2,3,7,5.6,T3,"Where does the demonstration of the kingdom through signs and wonders, prophecy, deliverance and healing prayer fit into seeing God's Kingdom come and a movement of disciples and churches happen? In this episode, Mark shares his thoughts on the connection between spiritual gifts and pursuit of NoPlaceLeft."
Breaking Bread: Making Space to Hear the Spirit's Lead,"Tue, 31 Aug 2021 10:00:19 GMT",53,hosts,cpm_leadership,,B,8,8,4,4,2,3,7,5.6,T3,"What role does ""breaking bread"" have in multiplying disciples, leaders, and churches? Actually, a lot. Things are always relational before they are organizational. In this episode we unpack why sharing the table is a huge key to the head, hearts, and hands of those that will reach Cities and accomplishing the Great Commission."
